Defense Success,Music Scene,Defense Fail,Country
1,All_The_Way_North_Normal.mid,12,US
1,All_The_Way_North_Easy.mid,16,US
1,All_The_Way_North_Hard.mid,1,US
1,Never_Gonna_Give_You_Up_Normal.mid,21,US
1,Never_Gonna_Give_You_Up_Easy.mid,8,US
1,Never_Gonna_Give_You_Up_Easy.mid,23,US
12,Never_Gonna_Give_You_Up_Easy.mid,23,US
12,All_The_Way_North_Hard.mid,18,US
12,All_The_Way_North_Hard.mid,25,US
12,Never_Gonna_Give_You_Up_Easy.mid,33,US
12,All_The_Way_North_Hard.mid,11,US
13,Never_Gonna_Give_You_Up_Hard.mid,27,US
13,All_The_Way_North_Hard.mid,32,US
14,Never_Gonna_Give_You_Up_Hard.mid,31,US
14,All_The_Way_North_Hard.mid,33,US
14,All_The_Way_North_Hard.mid,31,US
14,All_The_Way_North_Hard.mid,28,US
15,Never_Gonna_Give_You_Up_Normal.mid,23,US
17,Never_Gonna_Give_You_Up_Normal.mid,27,US
17,All_The_Way_North_Hard.mid,29,US
17,All_The_Way_North_Normal.mid,10,US
19,All_The_Way_North_Hard.mid,16,US
2,Never_Gonna_Give_You_Up_Normal.mid,17,US
2,All_The_Way_North_Normal.mid,25,US
2,Never_Gonna_Give_You_Up_Easy.mid,50,US
2,Never_Gonna_Give_You_Up_Hard.mid,20,US
2,All_The_Way_North_Normal.mid,10,US
2,All_The_Way_North_Hard.mid,2,US
2,Never_Gonna_Give_You_Up_Easy.mid,24,US
2,All_The_Way_North_Normal.mid,13,US
2,Never_Gonna_Give_You_Up_Easy.mid,9,US
2,Never_Gonna_Give_You_Up_Hard.mid,6,US
2,All_The_Way_North_Normal.mid,22,US
20,Never_Gonna_Give_You_Up_Easy.mid,42,US
21,All_The_Way_North_Hard.mid,29,US
21,Never_Gonna_Give_You_Up_Normal.mid,17,US
24,Never_Gonna_Give_You_Up_Hard.mid,81,US
28,Never_Gonna_Give_You_Up_Hard.mid,31,US
28,All_The_Way_North_Hard.mid,16,US
4,All_The_Way_North_Easy.mid,25,US
4,Never_Gonna_Give_You_Up_Easy.mid,20,US
4,Never_Gonna_Give_You_Up_Normal.mid,20,US
4,Never_Gonna_Give_You_Up_Easy.mid,45,US
4,Never_Gonna_Give_You_Up_Hard.mid,30,US
5,Never_Gonna_Give_You_Up_Hard.mid,19,US
5,Never_Gonna_Give_You_Up_Normal.mid,15,US
5,Never_Gonna_Give_You_Up_Easy.mid,27,US
6,All_The_Way_North_Hard.mid,25,US
6,Never_Gonna_Give_You_Up_Easy.mid,12,US
7,Never_Gonna_Give_You_Up_Easy.mid,21,US
7,Never_Gonna_Give_You_Up_Easy.mid,51,US
8,All_The_Way_North_Hard.mid,21,US
8,All_The_Way_North_Hard.mid,5,US
8,Never_Gonna_Give_You_Up_Easy.mid,9,US
